Precinct - Full,Precinct Short,Orphan?,Walkable?,Area,Avg Age,% Male,% Female,Registered Voters,Voted,Voted %,Col J Orphan,Col J Non-Orphan,Col J Non-Walkable,Col J Walkable,Target 92+ #,Target 92+ Voted #,Target 92+ Voted %,Col Q Orphan,Col Q Non-Orphan,Col Q Non-Walkable,Col Q Walkable,Target 75+ #,Target 75+ Voted #,Target 75+ Voted %,Non-Target #,Non-Target Voted #,Non-Target Voted %,Target 92+ - Non-Target %,Target 75+ - Non-Target %,Dem #,Dem Voted #,Dem Voted %,Rep #,Rep Voted #,Rep Voted %,Green #,Green Voted #,Green Voted %,Lib #,Lib Voted #,Lib Voted %,Unaf #,Unaf Voted #,Unaf Voted %,Unaf 92+ #,Unaf 92+ Voted #,Unaf 92+ Voted %,Unaf 75+ #,Unaf 75+ Voted #,Unaf 75+ Voted %,Unaf 0-75 #,Unaf 0-75 Voted #,Unaf 0-75 Voted %
2181207101,101,0,1,SU-01,44.26058394,50.66%,49.20%,1370,1202,87.74%,#N/A,87.74%,#N/A,87.74%,651,595,91.40%,#N/A,91.40%,#N/A,91.40%,923,824,89.27%,447,378,84.56%,6.83%,4.71%,498,449,90.16%,145,130,89.66%,1,1,100.00%,15,14,93.33%,711,608,85.51%,152,145,95.39%,424,374,88.21%,287,234,81.53%
2181207102,102,0,1,SU-01,38.90041494,47.30%,52.53%,1205,948,78.67%,#N/A,78.67%,#N/A,78.67%,516,449,87.02%,#N/A,87.02%,#N/A,87.02%,786,639,81.30%,419,309,73.75%,13.27%,7.55%,384,327,85.16%,102,86,84.31%,3,2,66.67%,18,15,83.33%,698,518,74.21%,129,120,93.02%,399,310,77.69%,299,208,69.57%
2181207103,103,0,1,SU-01,46.38545151,50.84%,49.00%,1196,1029,86.04%,#N/A,86.04%,#N/A,86.04%,528,464,87.88%,#N/A,87.88%,#N/A,87.88%,708,615,86.86%,488,414,84.84%,3.04%,2.03%,372,314,84.41%,154,143,92.86%,1,1,100.00%,14,13,92.86%,655,558,85.19%,155,149,96.13%,335,300,89.55%,320,258,80.63%
2181207104,104,0,1,SU-01,45.58222222,50.67%,49.16%,1125,1006,89.42%,#N/A,89.42%,#N/A,89.42%,486,450,92.59%,#N/A,92.59%,#N/A,92.59%,672,619,92.11%,453,387,85.43%,7.16%,6.68%,346,315,91.04%,174,161,92.53%,0,0,NULL,6,6,100.00%,599,524,87.48%,140,135,96.43%,326,304,93.25%,273,220,80.59%
2181207105,105,0,1,SU-01,46.61268473,50.92%,48.95%,1624,1448,89.16%,#N/A,89.16%,#N/A,89.16%,841,780,92.75%,#N/A,92.75%,#N/A,92.75%,1134,1035,91.27%,490,413,84.29%,8.46%,6.98%,587,539,91.82%,157,141,89.81%,5,4,80.00%,10,6,60.00%,865,758,87.63%,249,237,95.18%,542,492,90.77%,323,266,82.35%
2181207106,106,0,0,SU-01,44.4085494,48.84%,51.09%,1427,1280,89.70%,#N/A,89.70%,89.70%,#N/A,718,674,93.87%,#N/A,93.87%,93.87%,#N/A,1039,949,91.34%,388,331,85.31%,8.56%,6.03%,520,484,93.08%,112,106,94.64%,1,1,100.00%,13,11,84.62%,781,678,86.81%,197,189,95.94%,518,464,89.58%,263,214,81.37%
2181207200,200,0,1,LV-01,51.66580977,48.93%,50.99%,1167,1069,91.60%,#N/A,91.60%,#N/A,91.60%,639,607,94.99%,#N/A,94.99%,#N/A,94.99%,849,797,93.88%,318,272,85.53%,9.46%,8.34%,477,450,94.34%,108,98,90.74%,1,1,100.00%,5,5,100.00%,576,515,89.41%,161,156,96.89%,371,346,93.26%,205,169,82.44%
2181207201,201,0,1,LV-01,49.26860254,48.82%,51.09%,1102,958,86.93%,#N/A,86.93%,#N/A,86.93%,545,504,92.48%,#N/A,92.48%,#N/A,92.48%,735,659,89.66%,367,299,81.47%,11.01%,8.19%,431,397,92.11%,103,94,91.26%,0,0,NULL,8,4,50.00%,560,463,82.68%,114,107,93.86%,304,262,86.18%,256,201,78.52%
2181207202,202,1,1,LV-01,49.77763329,49.67%,50.33%,769,712,92.59%,92.59%,#N/A,#N/A,92.59%,498,463,92.97%,92.97%,#N/A,#N/A,92.97%,611,569,93.13%,158,143,90.51%,2.47%,2.62%,352,328,93.18%,57,55,96.49%,2,2,100.00%,2,2,100.00%,356,325,91.29%,144,133,92.36%,257,239,93.00%,99,86,86.87%
2181207203,203,0,1,LV-01,47.73411017,49.58%,50.32%,944,848,89.83%,#N/A,89.83%,#N/A,89.83%,534,496,92.88%,#N/A,92.88%,#N/A,92.88%,708,647,91.38%,236,201,85.17%,7.71%,6.21%,396,364,91.92%,87,80,91.95%,5,4,80.00%,2,2,100.00%,454,398,87.67%,133,128,96.24%,307,279,90.88%,147,119,80.95%
